n,x0,gapII,family_gapII,num_it
9,1/2 1 0 0 1/2 0 0 0 0 0 0 0 0 1/2 1 0 0 0 1/2 0 1/2 1 0 1/2 1/2 0 1/2 0 1/2 0 1/2 1/2 0 0 1/2 0,1.111111,1.333333,0
9,1 1/2 0 0 1/2 0 0 0 0 0 0 0 0 1/2 1/2 0 0 0 1 0 1/2 1 1/2 0 1/2 0 1/2 1/2 0 0 0 1/2 0 0 1/2 1/2,1.111111,1.333333,0
9,1 1/2 0 0 1/2 0 0 0 0 0 0 0 0 1/2 1/2 0 0 0 1 0 1/2 1/2 1 0 1/2 0 1/2 1/2 1/2 0 0 0 0 0 1/2 1/2,1.111111,1.333333,0
9,1/2 1 0 0 1/2 0 0 0 0 0 0 0 0 1/2 1 0 0 0 1/2 0 1/2 1/2 1 0 1/2 0 1/2 1/2 1/2 0 0 0 0 1/2 1/2 0,1.111111,1.333333,0
9,1/2 1 0 0 1/2 0 0 0 0 0 0 0 0 1/2 1 0 0 1/2 1/2 0 0 1/2 0 1 0 1/2 1/2 1/2 1/2 0 0 1/2 0 0 0 1/2,1.111111,1.333333,0
9,1/2 0 0 0 0 0 1/2 1 1 0 1/2 0 0 0 0 1/2 1/2 0 0 0 0 0 1/2 1/2 0 1/2 1/2 0 1/2 0 1 0 0 1/2 0 1/2,1.111111,1.111111,0
9,1/2 0 1/2 0 0 0 1 0 1/2 0 0 0 0 0 1 1/2 1/2 0 0 0 1/2 0 1/2 1/2 0 0 1/2 0 1/2 1/2 1 0 0 1/2 0 0,1.111111,1.333333,0
9,1/2 0 1/2 0 0 0 1 0 1/2 0 1/2 0 0 0 1/2 1/2 0 0 0 0 1 0 1/2 1/2 0 0 1/2 0 1/2 1/2 1 0 0 1/2 0 0,1.111111,1.333333,0
9,2/3 1 0 0 1/3 0 0 0 0 0 0 0 0 1 1/3 0 0 0 2/3 0 1/3 0 1/3 0 2/3 1 2/3 1 0 1/3 1/3 1/3 0 0 0 0,1.105263,1.315789,0
9,0 2/3 1 0 0 0 1/3 0 0 0 2/3 1 0 0 1/3 0 0 0 1/3 0 1 0 0 1/3 2/3 0 0 1 0 1/3 1/3 2/3 0 0 0 1/3,1.105263,1.315789,0
9,0 1 2/3 0 0 1/3 0 0 2/3 0 1 0 0 0 1/3 0 0 0 0 1/3 0 0 0 1/3 1 0 0 1/3 0 2/3 1 1/3 2/3 0 0 1/3,1.105263,1.315789,0
9,0 1/3 1 0 2/3 0 0 0 2/3 0 1 0 1/3 0 0 0 0 0 0 1 0 0 0 1/3 0 2/3 0 0 1/3 2/3 1 1/3 0 0 1/3 1/3,1.090909,1.272727,0
9,0 1 1/3 0 2/3 0 0 0 2/3 0 1 0 1/3 0 0 0 0 0 0 1/3 0 0 0 1 0 2/3 0 0 1/3 2/3 1/3 1 0 0 1/3 1/3,1.105263,1.315789,0
9,0 2/3 1/3 1 0 0 0 0 1 0 0 2/3 0 1/3 0 0 0 0 1/3 0 0 0 0 0 1 2/3 0 1/3 0 2/3 1 1/3 0 0 1/3 1/3,1.105263,1.315789,0
9,1/3 2/3 0 0 0 1 0 0 0 2/3 0 0 0 1 0 0 0 1 0 1/3 0 1 0 1/3 0 0 0 0 1/3 2/3 1/3 0 2/3 0 1/3 1/3,1.090909,1.272727,0
9,1 2/3 0 0 0 1/3 0 0 0 2/3 0 0 0 1/3 0 0 0 1/3 0 1 0 1 0 1/3 0 0 0 0 1/3 2/3 1 0 2/3 0 1/3 1/3,1.105263,1.315789,0
9,1/3 1 0 2/3 0 0 0 0 0 1 0 2/3 0 0 0 0 0 0 0 1/3 2/3 0 0 1/3 0 2/3 0 1/3 1 0 1 1/3 0 0 1/3 1/3,1.090909,1.272727,0
9,0 0 0 3/4 1 1/4 0 0 1 2/4 0 0 0 2/4 0 0 0 0 2/4 0 2/4 0 0 1 2/4 0 0 1/4 0 1 0 3/4 1/4 0 0 1/4,1.111111,1.333333,0
10,0 0 0 1/2 0 1/2 0 0 1 0 1 0 0 1/2 0 0 1/2 0 0 1 1/2 0 1/2 0 0 0 1/2 1/2 0 0 0 0 1/2 1 0 0 1/2 1/2 0 0 0 0 0 1/2 0,1.111111,1.333333,0
10,0 0 0 1/2 0 1/2 0 0 1 0 1 0 0 1/2 0 0 1/2 0 0 1 1/2 0 1/2 0 0 0 1/2 1/2 0 0 0 0 1 1/2 0 0 1/2 1/2 0 0 0 0 0 0 1/2,1.111111,1.333333,0
10,0 0 0 1 0 1/2 0 0 1/2 1/2 0 0 0 0 1/2 0 1 0 0 0 1/2 1 0 0 0 1 1/2 0 1/2 0 0 1/2 0 1/2 0 0 1/2 1/2 0 0 0 0 0 0 1/2,1.125000,1.250000,0
10,0 0 0 1 1/2 0 1/2 0 0 1 1/2 0 0 0 0 1/2 0 0 0 0 1/2 1/2 0 0 0 0 1/2 0 0 1 0 0 1/2 0 1/2 1/2 0 1 0 0 0 1/2 1/2 0 0,1.111111,1.333333,0
10,0 0 0 1 1/2 0 1/2 0 0 1/2 1 0 0 0 0 1/2 0 0 0 0 1 1/2 0 0 0 0 1/2 0 0 1/2 0 0 1/2 0 1/2 1/2 0 1 0 0 0 0 0 1/2 1/2,1.111111,1.333333,0
10,0 0 0 1 1/2 0 1/2 0 0 1/2 1 0 0 0 0 1/2 0 0 0 0 1 1/2 0 0 0 0 1/2 0 0 1/2 0 0 1/2 1/2 0 1/2 0 0 1 0 0 0 1/2 0 1/2,1.111111,1.333333,0
10,0 0 0 1 1/2 0 1/2 0 0 1 1/2 0 0 0 0 1/2 0 0 0 0 1/2 1/2 0 0 0 0 1/2 0 0 1 0 0 1/2 1/2 0 1 0 0 1/2 0 0 0 1/2 0 1/2,1.111111,1.333333,0
10,0 0 0 1/2 1 0 1/2 0 0 1/2 1 0 0 0 0 1/2 0 0 0 0 1 1/2 0 0 0 0 1/2 0 1/2 0 0 0 1/2 0 1 1/2 0 0 1/2 0 0 0 1/2 0 1/2,1.111111,1.333333,0
10,0 0 0 1/2 1 0 1/2 0 0 1 1/2 0 0 0 0 1/2 0 0 0 0 1/2 1/2 0 0 0 0 1 0 1/2 0 0 0 1/2 0 1 1/2 0 0 1/2 0 0 0 1/2 0 1/2,1.111111,1.333333,0
10,0 0 0 1/2 1 0 1/2 0 0 1/2 1 0 0 0 0 1/2 0 0 0 0 1/2 1 0 0 0 0 1/2 0 1/2 0 0 0 1/2 0 1 1/2 0 0 1/2 0 1/2 0 0 0 1/2,1.125000,1.333333,3
10,0 0 0 1/2 1 0 1/2 0 0 1/2 1 0 0 0 0 1/2 0 0 0 0 1 1/2 0 0 0 0 1/2 1/2 0 0 0 1/2 0 0 1 0 0 1/2 1/2 0 0 0 1/2 0 1/2,1.111111,1.333333,0
10,0 0 0 1 1/2 0 1/2 0 0 1/2 1 0 0 0 0 1/2 0 0 0 0 1/2 1 0 0 0 0 1/2 1/2 0 0 0 1/2 0 0 1/2 0 0 1 1/2 0 0 1/2 0 0 1/2,1.111111,1.333333,0
10,0 0 0 1 1/2 1/2 0 0 0 1 1/2 0 0 0 0 1/2 0 0 0 0 1/2 1/2 0 0 0 0 1/2 0 0 1 0 0 1/2 0 1/2 0 1/2 1 0 0 0 1/2 1/2 0 0,1.100000,1.300000,0
10,0 0 0 1/2 1 1/2 0 0 0 1/2 1 0 0 0 1/2 0 0 0 0 0 1/2 0 0 1 0 0 1/2 1/2 0 0 0 1/2 0 1 0 0 0 1/2 1/2 0 0 0 1/2 1/2 0,1.111111,1.333333,0
10,0 0 0 1 1/2 1/2 0 0 0 1/2 1 0 0 0 1/2 0 0 0 0 0 1/2 0 0 1 0 0 1/2 1/2 0 0 0 1/2 0 1/2 0 0 0 1 1/2 0 0 0 1/2 1/2 0,1.125000,1.285714,3
10,0 0 0 1 1/2 1/2 0 0 0 1/2 1 0 0 0 1/2 0 0 0 0 0 1/2 0 1 0 0 0 1/2 0 0 1/2 0 1/2 0 1/2 0 0 1/2 0 1 0 0 0 1/2 1/2 0,1.111111,1.333333,0
10,0 0 0 1/2 1 1/2 0 0 0 1/2 1 0 0 1/2 0 0 0 0 0 0 0 1 0 1/2 0 0 0 1/2 1/2 0 0 0 1/2 1 0 1/2 0 0 1/2 0 0 1/2 0 0 1/2,1.111111,1.333333,0
10,0 0 0 1/2 1 1/2 0 0 0 1 1/2 0 0 1/2 0 0 0 0 0 0 0 1/2 0 1/2 0 0 0 1/2 1 0 0 0 1 1/2 0 1/2 0 0 1/2 0 0 1/2 0 0 1/2,1.111111,1.333333,0
10,0 0 0 1/2 1 1/2 0 0 0 1 1/2 0 0 1/2 0 0 0 0 0 0 0 1/2 0 1/2 0 0 0 1 1/2 0 0 0 1/2 1 0 1/2 0 0 1/2 0 0 1/2 0 0 1/2,1.100000,1.300000,0
10,0 0 0 1/2 1 1/2 0 0 0 1/2 1 0 0 1/2 0 0 0 0 0 0 1/2 0 1 0 0 0 1/2 0 0 1/2 0 0 1/2 0 1 0 1/2 1/2 0 0 0 0 1/2 1/2 0,1.125000,1.285714,1
10,0 0 0 1/2 1 1/2 0 0 0 1 1/2 0 0 1/2 0 0 0 0 0 0 1/2 0 1/2 0 0 0 1/2 0 0 1 0 0 1 0 1/2 0 1/2 1/2 0 0 0 0 1/2 0 1/2,1.111111,1.333333,0
10,0 0 1/2 0 1/2 0 0 0 1 1/2 0 1 0 1/2 0 0 0 1 0 0 0 1/2 0 0 0 0 0 1/2 0 0 0 1/2 0 1/2 0 1 0 1/2 0 0 0 0 1/2 1/2 1/2,1.111111,1.333333,0
10,0 0 1/2 0 1/2 0 0 0 1 1/2 1 0 0 1/2 0 0 0 0 1 0 1/2 0 0 0 0 0 0 1/2 0 0 0 1/2 0 1/2 0 0 1 1/2 0 0 0 1/2 1/2 0 1/2,1.125000,1.306122,2
10,0 0 1 0 1/2 0 1/2 0 0 1 0 1/2 0 0 0 1/2 0 0 0 0 1/2 1/2 0 0 0 0 1/2 1/2 0 0 0 1/2 0 0 1 0 0 1 1/2 0 0 1/2 1/2 0 0,1.111111,1.333333,0
10,0 0 1 0 1/2 0 1/2 0 0 1 0 1/2 0 0 0 1/2 0 0 0 0 1/2 1/2 0 0 0 0 1/2 1/2 0 0 0 1 0 0 1/2 0 0 1/2 1 0 0 0 1/2 0 1/2,1.111111,1.333333,0
10,0 0 1 0 1/2 0 1/2 0 0 1/2 0 1 0 0 0 1/2 0 0 0 0 1 1/2 0 0 0 0 1/2 1/2 0 0 0 1/2 0 0 1/2 0 0 1 1/2 0 0 0 0 1/2 1/2,1.100000,1.300000,0
10,0 0 1 0 1/2 0 1/2 0 0 1 0 1/2 0 0 0 1/2 0 0 0 0 1/2 1/2 0 0 0 0 1/2 1/2 0 0 0 1 0 0 1/2 0 0 1 1/2 0 0 0 0 1/2 1/2,1.111111,1.333333,0
10,0 0 1/2 0 1 1/2 0 0 0 1 1/2 0 0 1/2 0 0 0 0 1/2 0 0 0 1/2 0 0 0 0 0 1 0 0 0 1/2 0 1 1/2 1/2 0 0 0 0 1/2 1/2 1/2 0,1.111111,1.333333,0
10,0 0 1/2 0 1 1/2 0 0 0 1/2 1 0 0 1/2 0 0 0 0 1/2 0 0 0 1 0 0 0 0 1/2 0 0 0 0 1 0 1/2 1/2 0 1/2 0 0 0 1/2 0 1/2 1/2,1.111111,1.333333,0
10,0 0 1/2 0 1 1/2 0 0 0 1/2 1 0 0 1/2 0 0 0 0 1/2 0 0 1 0 0 0 0 0 0 1/2 0 0 0 1/2 0 1 1/2 0 1/2 0 0 0 1/2 1/2 0 1/2,1.111111,1.333333,0
10,0 0 1/2 0 1 1/2 0 0 0 1 1/2 0 0 1/2 0 0 0 0 1/2 0 1/2 0 0 0 0 0 0 1 0 0 0 0 0 1/2 1 0 1/2 1/2 0 0 0 1/2 1/2 0 1/2,1.125000,1.333333,3
10,0 0 1 1/2 0 0 0 1/2 0 1 0 0 0 1/2 0 0 1/2 0 0 0 1/2 1/2 0 0 0 0 1/2 0 1/2 0 0 1/2 1 0 0 0 1/2 1/2 1 0 0 0 0 0 1/2,1.125000,1.285714,2
10,0 0 1/2 1 0 0 1/2 0 0 1 0 0 1/2 0 0 1/2 0 0 0 0 1/2 1/2 0 0 0 0 1 1/2 0 0 0 1/2 0 0 1/2 0 0 1/2 1 0 0 0 1/2 0 1/2,1.111111,1.333333,0
10,0 0 1 1/2 0 0 1/2 0 0 1/2 0 0 1 0 0 1/2 0 0 0 0 1 1/2 0 0 0 0 1/2 1/2 0 0 0 1/2 0 0 1 0 0 1/2 1/2 0 0 0 1/2 0 1/2,1.125000,1.285714,1
10,0 0 1/2 1 0 1/2 0 0 0 1 0 0 0 0 1/2 0 1/2 0 0 0 1/2 0 1/2 0 0 0 1/2 1 0 0 0 0 1/2 1/2 0 1/2 0 1/2 1 0 0 0 0 0 1/2,1.111111,1.333333,0
10,0 0 1/2 1 0 1/2 0 0 0 1 0 0 0 1/2 0 0 1/2 0 0 0 1/2 1/2 0 0 0 0 0 1/2 1 0 0 0 1/2 1/2 0 1/2 0 1/2 1 0 0 0 0 1/2 0,1.111111,1.333333,0
10,0 0 1 1/2 0 1/2 0 0 0 1 0 0 1/2 1/2 0 0 0 1/2 0 0 0 0 1/2 0 0 0 0 0 1/2 0 0 0 1/2 0 1 1 1/2 0 0 0 0 0 1/2 1/2 1/2,1.125000,1.285714,1
10,0 0 1/2 1/2 0 1 0 0 0 1/2 0 0 1 1/2 0 0 0 1 0 0 0 0 1/2 0 0 0 0 1/2 0 0 0 0 1/2 0 1 1/2 0 1/2 0 0 0 0 1/2 1/2 1/2,1.125000,1.285714,1
10,0 0 1/2 1/2 0 1 0 0 0 1/2 1 0 0 1/2 0 0 0 0 0 1 0 0 1/2 0 0 0 0 1/2 0 0 0 0 1/2 0 1 1/2 0 1/2 0 0 0 0 1/2 1/2 1/2,1.125000,1.333333,2
